ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.039,-0.035,1.000,0.002,-0.002,-0.000,0.084,0.455,-0.573,982.48,26.55,289.46
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.085,0.453,-0.567,982.44,26.55,289.87
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.086,0.450,-0.570,982.44,26.55,289.81
-0.039,-0.035,0.999,0.002,-0.002,-0.001,0.087,0.453,-0.567,982.48,26.55,289.49
-0.039,-0.035,1.000,0.002,-0.002,-0.000,0.088,0.452,-0.558,982.53,26.55,289.09
-0.040,-0.035,0.999,0.002,-0.002,-0.000,0.084,0.454,-0.562,982.52,26.55,289.12
-0.039,-0.035,1.000,0.002,-0.002,-0.000,0.087,0.452,-0.571,982.46,26.55,289.67
-0.036,-0.036,1.000,0.001,-0.002,-0.001,0.087,0.452,-0.571,982.46,26.55,289.69
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.086,0.451,-0.567,982.48,26.55,289.49
-0.037,-0.035,1.000,0.002,-0.002,0.000,0.086,0.451,-0.564,982.40,26.55,290.16
-0.038,-0.036,0.999,0.002,-0.002,0.000,0.088,0.451,-0.564,982.54,26.55,288.99
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.082,0.447,-0.566,982.50,26.55,289.35
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.082,0.452,-0.566,982.54,26.55,288.97
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.083,0.452,-0.567,982.45,26.55,289.75
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.083,0.452,-0.567,982.46,26.55,289.65
-0.038,-0.036,1.001,0.002,-0.002,0.000,0.086,0.451,-0.567,982.48,26.56,289.48
-0.038,-0.037,0.998,0.002,-0.002,-0.000,0.089,0.450,-0.568,982.41,26.55,290.08
-0.038,-0.037,1.000,0.002,-0.002,-0.000,0.088,0.453,-0.568,982.53,26.55,289.10
-0.038,-0.036,0.999,0.002,-0.002,0.000,0.090,0.452,-0.565,982.42,26.55,289.98
-0.039,-0.036,1.001,0.002,-0.002,0.000,0.087,0.450,-0.565,982.41,26.55,290.07
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.089,0.452,-0.564,982.50,26.56,289.30
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.089,0.452,-0.564,982.45,26.55,289.75
-0.037,-0.037,0.999,0.002,-0.002,-0.000,0.089,0.451,-0.560,982.43,26.55,289.92
-0.038,-0.036,1.000,0.001,-0.002,0.000,0.090,0.453,-0.569,982.42,26.55,290.00
-0.039,-0.036,0.999,0.002,-0.002,0.000,0.091,0.451,-0.568,982.49,26.55,289.43
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.090,0.450,-0.567,982.44,26.55,289.84
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.086,0.449,-0.561,982.43,26.55,289.90
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.088,0.449,-0.566,982.49,26.55,289.42
-0.037,-0.035,0.999,0.001,-0.002,-0.000,0.088,0.449,-0.566,982.46,26.56,289.62
-0.037,-0.036,0.999,0.002,-0.002,-0.000,0.086,0.456,-0.566,982.43,26.55,289.94
-0.038,-0.035,1.000,0.002,-0.002,0.000,0.088,0.449,-0.567,982.48,26.55,289.45
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.083,0.448,-0.565,982.54,26.55,288.95
-0.039,-0.035,0.999,0.002,-0.002,-0.000,0.083,0.449,-0.568,982.53,26.56,289.09
-0.040,-0.036,1.000,0.002,-0.002,-0.000,0.082,0.453,-0.567,982.45,26.56,289.76
-0.039,-0.035,0.999,0.002,-0.002,0.000,0.084,0.456,-0.561,982.50,26.56,289.32
-0.039,-0.036,0.999,0.002,-0.002,-0.001,0.084,0.456,-0.561,982.49,26.56,289.36
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.086,0.456,-0.560,982.44,26.55,289.85
-0.037,-0.036,0.999,0.002,-0.002,-0.000,0.089,0.455,-0.562,982.44,26.56,289.84
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.086,0.458,-0.563,982.49,26.56,289.43
-0.039,-0.036,1.000,0.001,-0.002,-0.000,0.089,0.452,-0.561,982.44,26.55,289.86
-0.037,-0.035,1.000,0.002,-0.002,0.000,0.089,0.452,-0.561,982.44,26.56,289.80
-0.039,-0.036,0.999,0.002,-0.002,0.000,0.089,0.451,-0.558,982.49,26.56,289.39
-0.038,-0.036,1.000,0.001,-0.002,-0.000,0.089,0.451,-0.558,982.46,26.55,289.66
-0.039,-0.036,0.998,0.001,-0.002,-0.001,0.083,0.456,-0.551,982.46,26.55,289.66
-0.037,-0.035,1.000,0.002,-0.002,-0.001,0.085,0.456,-0.554,982.46,26.56,289.62
-0.039,-0.035,0.999,0.002,-0.002,-0.000,0.090,0.457,-0.556,982.46,26.55,289.68
-0.038,-0.035,0.999,0.002,-0.002,0.000,0.087,0.453,-0.564,982.46,26.55,289.62
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.087,0.457,-0.559,982.50,26.55,289.34
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.087,0.454,-0.565,982.45,26.56,289.74
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.087,0.454,-0.556,982.45,26.55,289.70
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.453,-0.556,982.39,26.56,290.23
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.082,0.452,-0.558,982.51,26.56,289.21
-0.039,-0.035,1.000,0.002,-0.002,-0.000,0.088,0.453,-0.557,982.49,26.55,289.36
-0.039,-0.034,0.999,0.002,-0.002,-0.001,0.089,0.453,-0.556,982.48,26.56,289.46
-0.038,-0.036,0.999,0.002,-0.002,0.000,0.086,0.453,-0.557,982.46,26.55,289.62
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.086,0.456,-0.559,982.47,26.55,289.58
-0.039,-0.035,1.000,0.002,-0.002,-0.000,0.086,0.449,-0.563,982.56,26.56,288.84
-0.038,-0.035,1.000,0.002,-0.002,-0.000,0.088,0.449,-0.563,982.44,26.55,289.85
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.085,0.455,-0.559,982.40,26.55,290.17
-0.037,-0.035,1.000,0.002,-0.002,-0.000,0.089,0.453,-0.563,982.45,26.56,289.76
-0.038,-0.036,0.998,0.002,-0.002,-0.000,0.083,0.451,-0.556,982.44,26.55,289.86
-0.038,-0.036,0.999,0.001,-0.002,-0.000,0.088,0.452,-0.555,982.46,26.55,289.70
-0.038,-0.035,1.000,0.002,-0.002,-0.001,0.087,0.451,-0.558,982.39,26.55,290.26
-0.038,-0.035,1.001,0.002,-0.002,-0.001,0.087,0.453,-0.557,982.47,26.55,289.55
