t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-08-21 18:14:04.061, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -540.0, 194.3, 65.8 ,168.31
2025-08-21 18:14:04.072, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -540.0, 191.2, 70.0 ,168.06
2025-08-21 18:14:04.086, 0.073, -0.003, -0.991 ,  0.00, -0.00, 0.00 ,  -542.8, 191.2, 70.0 ,167.81
2025-08-21 18:14:04.093, 0.072, -0.006, -0.991 ,  0.00, -0.00, 0.00 ,  -540.5, 192.6, 66.1 ,167.88
2025-08-21 18:14:04.104, 0.071, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -538.6, 193.1, 66.6 ,167.56
2025-08-21 18:14:04.115, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -541.8, 192.6, 67.5 ,168.12
2025-08-21 18:14:04.127, 0.071, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -538.0, 194.3, 70.1 ,168.30
2025-08-21 18:14:04.137, 0.075, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -537.3, 193.1, 69.9 ,168.38
2025-08-21 18:14:04.148, 0.073, -0.004, -0.988 ,  0.00, -0.00, 0.00 ,  -540.4, 190.5, 74.3 ,168.27
2025-08-21 18:14:04.159, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -540.4, 190.5, 74.3 ,168.41
2025-08-21 18:14:04.171, 0.072, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -541.0, 188.3, 71.4 ,168.65
2025-08-21 18:14:04.182, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -548.0, 193.6, 70.3 ,168.74
2025-08-21 18:14:04.195, 0.073, -0.004, -0.987 ,  0.00, -0.00, 0.00 ,  -542.1, 193.9, 75.3 ,168.32
2025-08-21 18:14:04.203, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -539.3, 190.4, 68.0 ,167.92
2025-08-21 18:14:04.215, 0.073, -0.003, -0.991 ,  0.00, -0.00, 0.00 ,  -542.6, 189.7, 73.5 ,168.50
2025-08-21 18:14:04.225, 0.071, -0.005, -0.994 ,  0.00, -0.00, 0.00 ,  -541.4, 190.1, 76.3 ,168.44
2025-08-21 18:14:04.236, 0.072, -0.004, -0.992 ,  0.00, -0.00, -0.00 ,  -541.4, 190.1, 76.3 ,168.39
2025-08-21 18:14:04.248, 0.073, -0.005, -0.987 ,  0.00, -0.00, 0.00 ,  -539.7, 196.6, 71.8 ,168.07
2025-08-21 18:14:04.258, 0.073, -0.005, -0.992 ,  0.00, -0.00, 0.00 ,  -543.3, 191.8, 68.6 ,167.92
2025-08-21 18:14:04.269, 0.072, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -544.0, 192.2, 67.1 ,168.05
2025-08-21 18:14:04.280, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -542.8, 192.4, 77.1 ,168.51
2025-08-21 18:14:04.292, 0.072, -0.006, -0.986 ,  0.00, -0.00, 0.00 ,  -541.7, 190.0, 67.2 ,169.08
2025-08-21 18:14:04.364, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -540.5, 196.3, 68.2 ,168.92
2025-08-21 18:14:04.364, 0.072, -0.004, -0.994 ,  0.00, -0.00, 0.00 ,  -540.5, 196.3, 68.2 ,167.81
2025-08-21 18:14:04.365, 0.072, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -541.5, 194.6, 66.8 ,168.62
2025-08-21 18:14:04.366, 0.073, -0.004, -0.986 ,  0.00, -0.00, 0.00 ,  -539.6, 193.5, 66.4 ,168.24
2025-08-21 18:14:04.367, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -547.8, 189.8, 67.1 ,168.87
2025-08-21 18:14:04.367, 0.073, -0.005, -0.994 ,  0.00, -0.00, 0.00 ,  -545.0, 196.7, 73.9 ,167.75
2025-08-21 18:14:04.368, 0.072, -0.006, -0.990 ,  0.00, -0.00, 0.00 ,  -542.5, 194.3, 61.5 ,168.43
2025-08-21 18:14:04.380, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -541.4, 191.0, 69.9 ,168.59
2025-08-21 18:14:04.391, 0.072, -0.006, -0.991 ,  0.00, -0.00, 0.00 ,  -541.4, 191.0, 69.9 ,168.93
2025-08-21 18:14:04.402, 0.072, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -544.9, 194.0, 71.0 ,168.29
2025-08-21 18:14:04.473, 0.074, -0.005, -0.987 ,  0.00, -0.00, 0.00 ,  -544.3, 191.2, 67.3 ,168.23
2025-08-21 18:14:04.473, 0.072, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -540.0, 191.1, 69.0 ,167.88
2025-08-21 18:14:04.475, 0.071, -0.003, -0.992 ,  0.00, -0.00, 0.00 ,  -535.9, 191.8, 70.1 ,168.59
