t,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,ral
20:51:35:557,0.019,-0.010,0.986,0.001,-0.001,-0.001,0.024,0.650,-0.500,190.51,0.170000
20:51:35:558,0.018,-0.008,0.985,0.002,-0.002,0.000,0.024,0.650,-0.500,190.65,0.140000
20:51:35:559,0.018,-0.010,0.984,0.001,-0.001,-0.000,0.021,0.652,-0.489,191.23,0.580000
20:51:35:560,0.018,-0.010,0.985,0.001,-0.001,-0.000,0.019,0.650,-0.496,191.02,-0.210000
20:51:35:560,0.017,-0.010,0.984,0.001,-0.001,-0.001,0.018,0.654,-0.487,190.18,-0.840000
20:51:35:561,0.017,-0.011,0.983,0.001,-0.001,-0.001,0.018,0.650,-0.489,190.55,0.370000
20:51:35:562,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.015,0.652,-0.490,190.07,-0.480000
20:51:35:563,0.017,-0.009,0.984,0.001,-0.002,-0.001,0.016,0.648,-0.492,190.45,0.380000
20:51:35:564,0.018,-0.009,0.985,0.001,-0.002,-0.001,0.016,0.648,-0.492,190.09,-0.360000
20:51:35:565,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.021,0.655,-0.491,190.48,0.390000
20:51:35:566,0.017,-0.010,0.985,0.002,-0.002,-0.001,0.021,0.653,-0.496,190.78,0.300000
20:51:35:567,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.651,-0.486,190.68,-0.100000
20:51:35:568,0.019,-0.010,0.983,0.001,-0.002,-0.001,0.019,0.652,-0.490,190.41,-0.270000
20:51:35:569,0.016,-0.010,0.986,0.001,-0.002,-0.000,0.018,0.648,-0.492,190.70,0.290000
20:51:35:570,0.017,-0.010,0.983,0.001,-0.001,-0.001,0.022,0.651,-0.490,190.38,-0.320000
20:51:35:571,0.017,-0.009,0.983,0.001,-0.001,-0.000,0.022,0.651,-0.490,190.83,0.450000
20:51:35:572,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.647,-0.493,190.33,-0.500000
20:51:35:573,0.018,-0.011,0.986,0.001,-0.002,-0.000,0.017,0.654,-0.493,190.57,0.240000
20:51:35:574,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.649,-0.491,189.98,-0.590000
20:51:35:574,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.651,-0.488,190.93,0.950000
20:51:35:575,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.651,-0.492,190.63,-0.300000
20:51:35:576,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.021,0.650,-0.490,190.70,0.070000
20:51:35:577,0.016,-0.010,0.984,0.001,-0.002,-0.001,0.021,0.650,-0.489,190.84,0.140000
20:51:35:578,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.023,0.647,-0.489,190.23,-0.610000
20:51:35:579,0.018,-0.011,0.985,0.001,-0.002,-0.001,0.024,0.651,-0.491,189.70,-0.530000
20:51:35:580,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.020,0.646,-0.497,190.61,0.910000
20:51:35:581,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.021,0.650,-0.492,190.71,0.100000
20:51:35:582,0.019,-0.009,0.985,0.001,-0.002,-0.001,0.022,0.650,-0.500,190.99,0.280000
20:51:35:583,0.017,-0.009,0.986,0.001,-0.001,-0.001,0.019,0.653,-0.496,190.62,-0.370000
20:51:35:584,0.018,-0.011,0.983,0.001,-0.002,-0.000,0.019,0.648,-0.496,190.34,-0.280000
20:51:35:585,0.017,-0.009,0.984,0.001,-0.001,-0.001,0.020,0.648,-0.496,190.77,0.430000
20:51:35:586,0.018,-0.011,0.985,0.001,-0.002,-0.001,0.021,0.648,-0.494,190.96,0.190000
20:51:35:587,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.020,0.648,-0.498,191.19,0.230000
20:51:35:588,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.650,-0.491,191.03,-0.160000
20:51:35:588,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.021,0.649,-0.496,190.91,-0.120000
20:51:35:589,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.647,-0.490,190.50,-0.410000
20:51:35:590,0.017,-0.009,0.985,0.001,-0.001,-0.001,0.017,0.647,-0.490,190.04,-0.460000
20:51:35:591,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.017,0.647,-0.490,190.43,0.390000
20:51:35:592,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.649,-0.495,189.99,-0.440000
20:51:35:593,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.021,0.649,-0.498,190.70,0.710000
20:51:35:594,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.023,0.648,-0.495,190.37,-0.330000
20:51:35:595,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.022,0.651,-0.491,190.20,-0.170000
20:51:35:596,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.022,0.652,-0.493,190.39,0.190000
20:51:35:597,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.651,-0.491,190.73,0.340000
20:51:35:598,0.016,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.651,-0.491,190.33,-0.400000
20:51:35:599,0.017,-0.010,0.986,0.001,-0.002,-0.001,0.023,0.644,-0.495,190.40,0.070000
20:51:35:600,0.019,-0.009,0.984,0.001,-0.002,-0.001,0.019,0.646,-0.491,190.04,-0.360000
20:51:35:601,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.650,-0.487,191.02,0.980000
20:51:35:602,0.017,-0.010,0.984,0.001,-0.001,-0.001,0.018,0.650,-0.487,189.97,-1.050000
20:51:35:603,0.016,-0.010,0.985,0.001,-0.001,-0.001,0.017,0.647,-0.487,190.55,0.580000
20:51:35:603,0.018,-0.010,0.983,0.001,-0.002,-0.001,0.013,0.647,-0.494,190.30,-0.250000
20:51:35:604,0.018,-0.009,0.985,0.001,-0.002,-0.000,0.013,0.647,-0.494,190.85,0.550000
20:51:35:605,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.015,0.650,-0.494,190.46,-0.390000
20:51:35:606,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.016,0.652,-0.497,190.26,-0.200000
20:51:35:607,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.650,-0.496,190.25,-0.010000
20:51:35:608,0.018,-0.009,0.985,0.001,-0.002,-0.001,0.015,0.651,-0.495,190.76,0.510000
20:51:35:609,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.017,0.652,-0.491,190.42,-0.340000
20:51:35:610,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.649,-0.492,190.45,0.030000
20:51:35:611,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.649,-0.492,191.07,0.620000
